Cancer Type	Mutational Signatures	Mean Ratio (Male / Female)	Q-value
STAD	Signature Subs-15	1.01	1.43E-02
LIHC	Signature Subs-01	0.70	1.83E-02
GBM	Signature Subs-01	0.57	4.04E-02
LIHC	Signature Subs-05	1.40	4.04E-02
SKCM	Signature Subs-07a	1.97	4.04E-02
SKCM	Signature Subs-07b	2.11	4.04E-02
STAD	Signature Subs-20	0.56	4.04E-02
HNSC	Signature Subs-02	0.83	4.71E-02
SKCM	Signature Subs-05	1.85	5.40E-02
GBM	Signature Subs-40	0.92	1.10E-01
HNSC	Signature Subs-01	0.91	1.10E-01
STAD	Signature Subs-01	0.62	1.10E-01
LUAD	Signature Subs-05	1.23	1.10E-01
LIHC	Signature Subs-30	0.26	1.24E-01
BLCA	Signature Subs-13	1.28	1.42E-01
COAD	Signature Subs-60	0.55	1.42E-01
PAAD	Signature Subs-01	1.34	1.43E-01
HNSC	Signature Subs-13	0.79	1.43E-01
STAD	Signature Subs-40	1.56	1.51E-01
BLCA	Signature Subs-02	1.17	2.29E-01
STAD	Signature Subs-17a	1.33	2.30E-01
STAD	Signature Subs-17b	1.52	2.47E-01
THCA	Signature Subs-10b	1.68	2.54E-01
PAAD	Signature Subs-05	0.24	2.67E-01
STAD	Signature Subs-05	0.73	2.69E-01
LUSC	Signature Subs-01	1.14	3.29E-01
PCPG	Signature Subs-05	0.76	3.29E-01
THYM	Signature Subs-05	0.90	3.34E-01
SKCM	Signature Subs-38	0.61	3.34E-01
KIPAN	Signature Subs-05	1.17	3.50E-01
COAD	Signature Subs-05	0.65	3.82E-01
KIPAN	Signature Subs-01	1.22	3.84E-01
LGG	Signature Subs-01	1.00	3.84E-01
BLCA	Signature Subs-05	1.08	3.84E-01
SARC	Signature Subs-05	1.37	3.84E-01
LGG	Signature Subs-13	1.26	3.84E-01
LAML	Signature Subs-27	1.52	3.84E-01
LGG	Signature Subs-45	0.17	3.84E-01
STAD	Signature Subs-54	0.47	3.84E-01
LUSC	Signature Subs-45	1.20	3.93E-01
LUAD	Signature Subs-45	0.68	4.04E-01
SKCM	Signature Subs-07c	1.53	4.05E-01
STAD	Signature Subs-02	1.14	4.42E-01
KIPAN	Signature Subs-45	1.43	4.91E-01
DLBC	Signature Subs-05	1.56	5.25E-01
STAD	Signature Subs-13	1.41	5.25E-01
PCPG	Signature Subs-01	0.89	5.32E-01
CHOL	Signature Subs-05	3.18	5.32E-01
LGG	Signature Subs-11	0.13	5.56E-01
LUSC	Signature Subs-04	0.77	5.63E-01
HNSC	Signature Subs-45	1.12	5.66E-01
LUAD	Signature Subs-40	1.35	5.76E-01
ESCA	Signature Subs-01	0.75	5.99E-01
KIPAN	Signature Subs-52	0.43	5.99E-01
GBM	Signature Subs-05	0.23	6.37E-01
THCA	Signature Subs-13	0.82	6.37E-01
SKCM	Signature Subs-01	1.78	6.59E-01
COAD	Signature Subs-01	0.76	6.84E-01
BLCA	Signature Subs-01	1.08	6.90E-01
SARC	Signature Subs-59	1.36	6.90E-01
KIPAN	Signature Subs-40	0.96	6.90E-01
LUAD	Signature Subs-02	1.43	6.94E-01
SKCM	Signature Subs-07d	1.54	6.94E-01
ACC	Signature Subs-01	1.50	6.97E-01
KIPAN	Signature Subs-02	0.78	6.97E-01
LGG	Signature Subs-02	0.97	6.97E-01
HNSC	Signature Subs-05	1.08	6.97E-01
LGG	Signature Subs-05	0.44	6.97E-01
LAML	Signature Subs-40	0.77	6.97E-01
LIHC	Signature Subs-40	1.16	7.34E-01
READ	Signature Subs-40	1.18	7.51E-01
ACC	Signature Subs-02	1.31	7.51E-01
UVM	Signature Subs-01	0.15	7.56E-01
READ	Signature Subs-05	1.43	7.56E-01
THCA	Signature Subs-05	1.09	7.56E-01
LGG	Signature Subs-15	1.05	7.56E-01
LUSC	Signature Subs-13	0.79	7.70E-01
DLBC	Signature Subs-01	1.09	7.82E-01
UVM	Signature Subs-05	0.89	7.82E-01
LUAD	Signature Subs-13	1.30	7.82E-01
CHOL	Signature Subs-01	1.21	8.00E-01
THYM	Signature Subs-01	0.44	8.00E-01
MESO	Signature Subs-05	0.82	8.00E-01
LAML	Signature Subs-01	0.75	8.12E-01
MESO	Signature Subs-01	0.18	8.12E-01
LUAD	Signature Subs-04	1.04	8.12E-01
ESCA	Signature Subs-05	0.83	8.12E-01
KIPAN	Signature Subs-13	0.54	8.12E-01
GBM	Signature Subs-30	0.87	8.12E-01
LGG	Signature Subs-39	0.85	8.12E-01
ESCA	Signature Subs-02	1.00	8.12E-01
LGG	Signature Subs-37	1.10	8.12E-01
THCA	Signature Subs-42	1.20	8.35E-01
SKCM	Signature Subs-45	1.17	8.39E-01
ESCA	Signature Subs-13	1.02	8.39E-01
THCA	Signature Subs-45	0.82	8.52E-01
LUSC	Signature Subs-02	0.74	8.77E-01
COAD	Signature Subs-15	0.75	8.78E-01
SARC	Signature Subs-01	2.77	8.97E-01
LUAD	Signature Subs-01	0.89	8.99E-01
LUSC	Signature Subs-05	1.05	9.07E-01
PCPG	Signature Subs-15	1.21	9.16E-01
ACC	Signature Subs-05	1.25	9.21E-01
ACC	Signature Subs-13	0.93	9.21E-01
COAD	Signature Subs-40	0.96	9.21E-01
SKCM	Signature Subs-49	1.29	9.21E-01
THCA	Signature Subs-01	1.07	9.34E-01
THCA	Signature Subs-02	0.86	9.34E-01
READ	Signature Subs-01	1.83	9.66E-01
LAML	Signature Subs-05	1.90	9.67E-01
